year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2012,9,12,21,89.213554,17.0,19.0,1012.0,SE,1.78,0.0,0.0
2011,11,27,10,200.59816,-2.0,3.0,1023.0,NW,1.79,0.0,0.0
2013,2,26,0,314.39578,-3.0534244,2.0,1020.0,SE,35.764362,0.0,0.0
2014,2,20,9,173.3158,-7.0,-3.0,1033.0,SE,37.66849,0.0,0.0
2011,12,30,0,20.0,-19.0,-7.0,1038.0,NW,46.720825,0.0,0.0
2012,6,2,6,40.077686,16.0,17.0,1005.91547,NW,3.13,0.0,0.0
2011,6,27,23,72.0,19.0,25.0,999.0,NE,3.58,0.0,0.0
2012,4,20,10,118.0,4.857703,15.0,1019.0,SE,1.79,0.0,0.0
2013,6,30,8,110.0,21.0,22.551413,1004.0,NE,1.79,0.0,0.0
2011,3,21,19,16.0,-19.0,7.0,1025.0,NW,142.26408,0.0,0.0
2011,3,12,9,269.25665,-2.0,5.0,1010.0,NE,1.78,0.0,0.0
2011,10,12,0,126.0,11.206798,18.0,1020.0,cv,0.89,0.0,0.0
2011,8,22,23,69.411446,17.0,22.0,1012.0,SE,25.471771,0.0,0.0
2012,1,30,7,9.0,-22.7124,-10.0,1035.0,NW,141.85715,0.0,0.0
2010,12,31,11,127.0,-12.0,2.0,1016.0,cv,4.47,0.0,0.0
2010,3,17,16,84.72724,-12.975657,13.0,1014.0,SE,21.297422,0.0,0.0
2014,7,28,0,91.44148,19.0,28.0,1005.0,SE,38.89751,0.0,0.0
2014,6,11,15,63.0,16.0,29.481644,1006.0,SE,16.98,0.0,0.0
2010,3,20,19,46.0,-16.0,10.0,1014.0,NW,120.500435,0.0,0.0
2012,3,1,12,52.0,-7.0,1.0,1026.0,SE,18.770445,0.0,0.0
2010,5,18,16,62.0,9.0,22.0,999.9204,SE,4.92,0.0,0.0
2013,12,21,20,225.28099,-12.0,-5.0,1034.0,cv,0.89,0.0,0.0
2011,3,5,21,101.12327,-9.0,5.0,1016.0,NE,1.79,0.0,0.0
2013,2,5,2,76.0,-8.0,-7.0,1026.0,SE,8.05,0.0,0.0
2013,6,15,21,56.0,14.0,27.0,1005.0,cv,1.79,0.0,0.0
2010,4,12,22,27.0,1.0,5.0,1019.0,NE,3.13,0.0,6.118816
2013,10,31,19,149.47281,7.0,10.0,1025.0,cv,0.45,0.0,0.0
2013,2,14,7,70.0,-10.0,-5.0,1030.0,SE,25.92028,0.0,0.0
2013,8,5,20,113.0,22.0,26.0,1002.0,NE,1.79,0.0,0.0
2013,9,17,16,13.0,0.0,21.0,1019.0,NE,11.17,0.0,0.0
2014,6,5,23,47.0,17.0,22.0,1006.0,SE,3.58,0.0,0.0
2011,3,13,5,14.0,-12.0,6.0,1022.0,NW,23.69042,0.0,0.0
2011,9,9,23,163.21198,18.0,22.0,1011.26483,SE,8.04,0.0,0.0
2013,1,8,23,301.65488,-11.0,-8.0,1030.0,cv,1.79,0.0,0.0
2013,11,6,0,164.0,0.0,8.0,1021.0,cv,0.89,0.0,0.0
2013,10,3,12,50.0,5.0,18.0,1019.0,cv,1.78,0.0,0.0
2014,10,1,6,19.0,5.0,13.0,1020.0,NE,14.75,0.0,0.0
2011,7,18,4,34.0,20.0,21.0,1005.0,SE,0.89,0.0,5.0
2011,12,14,12,143.0,-5.0,3.0,1030.0,NE,4.92,0.0,0.0
2014,10,20,3,18.0,4.0,7.0,1027.0,NE,1.79,0.0,0.0
2012,1,29,5,38.0,-19.0,-9.0,1026.0,cv,0.89,0.0,0.0
2012,9,28,11,114.0,17.0,21.0,1018.0,SE,1.79,0.0,0.0
2010,3,31,5,147.68562,0.0,-0.49247965,1016.0,cv,0.89,0.0,0.0
2011,10,2,3,99.0,4.0,8.0,1028.0,SE,7.15,0.0,0.0
2013,4,17,12,7.0,-10.0,14.0,1015.0,NW,13.86,0.0,0.0
2012,8,25,18,110.0,16.0,28.742651,1010.0,SE,5.81,0.0,0.0
2014,9,8,18,26.0,12.0,24.0,1008.0,SE,14.31,0.0,0.0
2013,8,12,4,71.0,20.0,24.0,1003.0,NW,4.92,0.0,0.0
2010,2,20,9,20.0,-17.0,3.0,1019.0,NW,76.95694,0.0,0.0
2011,11,23,9,16.0,-9.0,6.0,1028.0,NW,52.31711,0.0,0.0
2011,11,11,19,9.0,-8.0,9.0,1024.0,NW,210.89647,0.0,0.0
2010,7,10,22,183.85622,22.0,24.0,1005.0,SE,19.51926,0.0,0.0
2012,6,24,14,81.0,16.0,30.0,1003.0,SE,6.26,0.0,0.0
2012,9,22,20,149.0,15.0,20.0,1012.0,cv,3.13,0.0,0.0
2011,12,25,0,59.0,-17.0,-8.0,1031.0,NW,4.02,0.0,0.0
2010,9,28,1,131.83362,11.0,15.0,1013.0,cv,0.45,0.0,0.0
2014,8,14,16,30.0,15.0,32.0,1006.0,SE,13.86,0.0,0.0
2011,11,29,0,101.0,-5.0,-2.0,1031.0,NE,1.79,0.0,0.0
2010,5,14,3,204.1142,11.0,20.0,1014.0,SE,50.078938,0.0,0.0
2012,1,1,10,65.0,-15.0,-1.0,1031.0,NW,23.687847,0.0,0.0
2013,6,12,2,72.0,13.0,16.0,1007.0,cv,1.78,0.0,0.0
2011,1,29,11,122.0,-15.0,-4.0,1034.0,NW,5.81,0.0,0.0
2012,12,27,21,175.0,-7.0,-4.0,1027.0,SE,12.07,0.0,0.0
2013,9,2,3,36.570168,14.0,18.0,1015.0,cv,0.89,0.0,0.0
2012,4,25,22,26.0,0.0,11.0,1005.32715,NW,5.81,0.0,0.0
2012,7,23,12,30.0,22.0,31.0,1006.0,cv,0.89,0.0,0.0
2013,10,21,22,109.80446,4.0,10.0,1020.0,SE,3.58,0.0,0.0
2010,2,11,7,68.0,-18.0,-8.169809,1031.0,NW,3.13,0.0,0.0
2013,11,22,6,261.27756,-7.0,-2.0,1028.0,NW,3.58,0.0,0.0
2014,7,19,11,23.0,17.0,26.0,1013.0,NW,42.548378,0.0,0.0
2014,10,7,4,76.86207,3.0,9.0,1025.0,cv,0.89,0.0,0.0
2014,3,11,9,258.31912,-4.0,5.0,1020.0,cv,1.78,0.0,0.0
2012,10,29,11,53.0,4.0,16.0,1023.0,NW,9.39,0.0,0.0
2013,7,14,9,14.0,16.0,30.0,1000.4075,NW,29.47396,0.0,0.0
2013,7,15,2,29.242893,17.0,22.0,1002.0,NE,25.226866,0.0,0.0
2013,3,30,23,73.0,-2.0,4.0,1023.0,SE,47.81392,0.0,0.0
2010,3,20,22,121.0,-1.0,4.0,1014.0,SE,20.560658,0.0,0.0
2014,6,31,10,90.0,19.0,27.0,1008.0,cv,1.79,0.0,0.0
2014,6,1,6,19.0,17.0,20.816137,1008.0,NW,8.04,0.0,0.0
2012,10,22,5,90.29249,7.0,8.0,1019.0,NE,2.68,0.0,0.0
2014,1,22,21,24.0,-23.0,-3.0,1032.0,NW,95.0905,0.0,0.0
2012,1,21,1,906.4471,-14.0,-8.0,1030.0,NW,0.89,0.0,0.0
2011,7,20,13,37.0,22.0,24.0,1004.0,SE,9.83,0.0,0.0
2014,7,10,20,48.0,16.0,26.0,1003.0,NW,7.6,0.0,0.0
2012,2,28,4,14.0,-19.0,-4.0,1027.0,NW,70.466545,0.0,0.0
2010,10,5,6,6.0,6.0,15.0,1017.0,NW,25.039825,0.0,0.0
2013,11,18,8,258.0833,1.0,5.0,1021.0,NW,4.47,0.0,0.0
2010,3,4,13,238.25998,3.0,6.0,1015.0,SE,19.670668,0.0,2.0
2011,10,15,9,8.292922,3.2446454,15.180388,1011.0,NW,64.88569,0.0,0.0
2013,7,22,14,38.0,20.0,28.0,1003.0,NE,7.15,0.0,0.0
2013,3,23,1,323.715,0.0,2.0,1012.0,NW,1.79,0.0,0.0
2012,4,9,9,140.87854,4.0,20.0,1012.0,SE,28.16,0.0,0.0
2013,12,7,19,189.0,-13.0,-2.0,1019.0,NE,1.79,0.0,0.0
2010,12,14,8,74.0,-11.0,-7.0,1026.0,NW,44.586803,5.889412,0.0
2013,7,9,16,27.0,11.0,37.72619,996.0,NW,30.841978,0.0,0.0
2011,1,15,4,11.0,-23.0,-8.0,1037.2551,NW,165.28969,0.0,0.0
2011,4,13,12,151.0,7.0,18.0,1008.0,SE,14.3,0.0,0.0
2010,1,25,1,93.0,-18.0,-10.0,1032.0,NW,7.15,0.0,0.0
2012,11,7,16,113.0,-2.4014976,10.0,1018.0,SE,6.26,0.0,0.0
2013,5,6,9,302.0331,13.0,23.0,1015.0,cv,1.78,0.0,0.0
2014,7,30,7,159.0,22.0,24.0,1004.0,SE,3.13,0.0,0.0
2010,3,8,7,21.0,-13.0,-4.0,1038.0,NW,45.967846,0.0,0.0
2011,11,4,20,135.0,7.0,13.0,1022.0,NW,4.92,0.0,0.0
2013,5,16,22,17.0,1.0,22.0,1014.0,NW,61.05739,0.0,0.0
2011,5,25,18,82.0,12.0,28.0,1011.0,SE,28.41995,0.0,0.0
2013,12,22,2,140.33531,-13.0,-7.0,1032.0,cv,2.67,0.0,0.0
2014,2,20,23,341.03928,-7.0,-2.0,1028.0,cv,7.15,0.0,0.0
2014,1,19,23,84.27843,-11.0,-1.0,1030.0,SE,49.106457,0.0,0.0
2010,12,25,23,92.0,-22.0,-11.0,1028.0,NE,4.02,0.0,0.0
2012,12,28,14,104.0,-17.0,3.0,1021.0,cv,0.89,0.0,0.0
2012,9,10,13,13.0,7.554279,25.0,1012.0,NW,38.78052,0.0,0.0
2013,11,4,3,44.0,1.0,3.0,1025.0,cv,1.130447,0.0,0.0
2012,11,22,17,55.0,-10.0,-1.0,1024.0,cv,0.89,0.0,0.0
2011,10,1,2,66.0,5.0,11.0,1025.0,NW,18.320274,0.0,0.0
2011,7,23,1,406.66718,25.0,28.0,1003.0,SE,7.812047,0.0,0.0
2011,7,4,20,93.0,23.0,30.0,1000.0,SE,22.401274,0.0,0.0
2013,3,10,16,16.0,-20.0,10.0,1023.0,NW,102.86549,0.0,0.0
2013,10,3,10,31.241922,4.0,15.0,1023.0,NE,12.522458,0.0,0.0
2011,7,5,18,75.0,18.0,31.0,1000.0,NW,1.79,0.0,0.0
2014,6,11,2,57.0,17.0,19.0,1011.0,SE,33.52848,0.0,0.0
2010,6,14,17,128.7386,13.0,30.0,1006.0,SE,38.455826,0.0,0.0
2011,1,26,16,99.0,-18.0,0.0,1024.0,cv,0.89,0.0,0.0
2012,4,13,14,17.0,-5.0,21.0,1003.0,NW,65.59702,0.0,0.0
2012,2,20,4,127.47618,-14.0,-4.0,1020.0,SE,3.13,0.0,0.0
2013,1,20,5,160.0,-5.0,-4.0,1029.8927,SE,13.86,2.9702234,0.0
2012,1,29,9,167.5837,-8.0,-4.0,1026.0,NW,5.37,0.0,0.0
2013,3,20,15,96.0,-4.0,7.477901,1017.0,SE,22.787975,0.0,0.0
2013,12,6,7,170.0,-8.0,0.0,1018.0,cv,0.89,0.0,0.0
2014,4,23,4,78.0,10.0,14.0,1014.0,cv,2.672259,0.0,0.0
2011,10,10,19,82.0,2.0,18.0,1024.0,NW,13.86,0.0,0.0
2014,10,18,20,221.91493,9.0,18.0,1018.0,SE,10.281508,0.0,0.0
2012,3,10,19,52.0,-14.0,4.0,1025.0,cv,0.89,0.0,0.0
2014,12,1,12,13.0,-22.0,-1.0,1032.0,NW,284.2469,0.0,0.0
2010,2,5,2,52.0,-7.0,1.0,1025.0,SE,27.32381,0.0,0.0
2013,12,8,22,8.0,-22.0,-1.0,1033.0,NW,109.92782,0.0,0.0
2012,4,1,13,117.0,4.0,15.0,1008.0,SE,12.96,0.0,0.0
2010,4,14,1,83.0,2.0,8.0,1014.0,SE,54.78905,0.0,1.0
2014,4,5,16,10.0,-18.0,20.0,1020.0,cv,2.68,0.0,0.0
2013,9,17,6,227.0,17.0,18.0,1016.0,SE,1.79,0.0,0.0
2011,9,29,9,93.0,14.0,20.0,1014.0,SE,42.46737,0.0,0.0
2011,10,9,10,24.0,7.0,18.0,1023.0,SE,9.84,0.0,0.0
2013,8,10,13,39.0,18.0,31.0,1006.0,SE,1.79,0.0,0.0
2014,9,9,7,12.0,12.874321,18.0,1014.0,NW,46.31226,0.0,0.0
2013,12,28,15,12.0,-27.0,3.0,1021.0,NW,131.2881,0.0,0.0
2011,12,14,21,10.0,-19.0,-4.0,1037.0,NW,160.74023,0.0,0.0
2014,7,18,14,104.0,22.0,34.14262,1006.0,SE,7.5993223,0.0,0.0
2013,9,19,13,29.430342,9.0,30.0,1013.0,cv,2.68,0.0,0.0
2011,4,5,8,205.7118,-4.0,11.0,1024.0,SE,57.83064,0.0,0.0
2014,3,28,6,84.0,-3.0,5.0,1021.0,SE,3.13,0.0,0.0
2010,7,26,17,78.89196,22.0,34.0,1001.0,SE,6.039435,0.0,0.0
2011,11,22,21,183.10417,1.0,5.0,1022.0,NW,3.58,0.0,0.0
2010,1,21,18,337.457,-8.0,-2.0,1014.0,SE,4.02,0.0,0.0
2012,5,10,1,42.0,-1.0,20.0,1005.0,NW,59.671234,0.0,0.0
2013,3,22,7,59.0,-6.0,-2.0,1016.0,SE,1.79,0.0,0.0
2014,12,12,23,347.81766,-8.0,-5.0,1032.0,NW,8.05,0.0,0.0
2011,10,9,15,26.0,2.0,24.0,1023.0,SE,1.79,0.0,0.0
2011,7,18,12,55.348293,19.0,28.0,1008.4048,SE,5.81,0.0,0.0
2010,3,19,16,13.0,-12.0,8.0,1017.0,NW,97.45093,0.0,0.0
2014,12,15,0,11.0,-19.0,-1.0,1032.0,NW,93.904816,0.0,0.0
2010,5,8,2,290.75165,13.0,15.0,1006.0,NW,0.89,0.0,0.0
2012,7,12,18,19.0,20.0,28.0,1000.0,SE,8.327504,0.0,0.0
2011,3,2,16,39.0,-16.0,8.892351,1023.0,NW,4.92,0.0,0.0
2013,2,22,6,202.0,-6.6037936,-1.0,1028.0,NW,15.654004,0.0,0.0
2014,3,30,0,54.0,-5.0,13.0,1015.0,cv,0.89,0.0,0.0
2010,1,19,23,201.0,-10.0,-7.0,1025.0,cv,0.89,0.0,0.0
2014,8,25,9,20.414762,15.0,28.0,1012.0,SE,23.682116,0.0,0.0
2013,11,17,12,14.0,-20.0,8.0,1027.0,NW,71.25419,0.0,0.0
2013,10,17,21,84.0,5.0,13.0,1021.0,NE,1.79,0.0,0.0
2012,10,22,13,37.0,1.0,21.0,1015.0,NW,9.84,0.0,0.0
2014,12,12,10,17.70901,-19.0,2.3010018,1031.0,NW,8.545142,0.0,0.0
2011,12,25,0,87.0,-14.0,-4.0,1030.0,cv,1.78,0.0,0.0
2011,1,14,10,30.0,-20.0,-3.0,1035.0,NE,8.94,0.0,0.0
2010,5,6,0,33.0,0.0,17.0,1011.0,cv,0.89,0.0,0.0
2014,4,25,16,91.0,7.0,23.0,1015.0,SE,4.92,0.0,0.0
2012,1,6,3,40.0,-15.0,-9.0,1038.0,cv,1.78,0.0,0.0
2010,5,15,21,97.04561,12.0,20.0,1013.0,NE,1.79,0.0,0.0
2013,5,2,19,38.0,-5.0,20.0,1011.0,NW,80.19256,0.0,0.0
2014,4,12,22,101.0,0.0,12.0,1016.0,SE,1.78,0.0,0.0
2012,10,1,18,87.0,13.0,14.097249,1014.0,NE,0.89,0.0,0.0
2011,9,20,1,72.0,13.0,15.0,1015.0,SE,33.249676,0.0,0.0
2014,5,5,15,143.0,3.0,26.0,1010.0,SE,1.79,0.0,0.0
2012,7,16,4,66.0,21.0,23.421555,1007.0,cv,1.78,0.0,0.0
2013,6,1,5,229.0,16.0,22.0,1004.0,SE,7.9728475,0.0,0.0
2013,12,4,3,75.0,-8.0,1.0514622,1018.0,cv,0.89,0.0,0.0
2014,8,7,2,19.0,16.0,20.0,1007.0,NW,12.52,0.0,0.0
2013,8,19,14,115.53269,21.0,30.0,1006.0,SE,11.174951,0.0,0.0
2014,9,4,9,94.0,17.0,20.0,1009.0,NE,0.89,0.0,0.0
2011,10,8,16,111.0,11.317876,16.0,1019.0,SE,2.68,0.0,0.0
2013,2,13,19,66.0,-11.0,-5.0,1027.0,SE,15.2,0.0,0.0
2013,7,11,13,21.186872,16.0,32.298923,1005.0,NW,3.13,0.0,0.0
2011,1,26,1,74.0,-20.0,-11.0,1028.0,NW,3.13,0.0,0.0
2011,5,21,16,144.0,11.0,30.0,1009.0,SE,41.73275,0.0,0.0
2012,10,26,22,43.0,1.0,10.0,1019.0,NE,1.79,0.0,0.0
2014,2,2,4,7.0,-19.0,-5.0,1025.0,NW,4.02,0.0,0.0
2013,7,8,11,43.0,21.0,25.0,1001.0,NW,9.84,0.0,5.0
2012,11,15,8,16.0,-9.0,-1.0,1029.0,cv,0.89,0.0,0.0
2012,1,8,6,134.0,-4.0,-4.0,1033.0,cv,1.78,0.0,0.0
2010,11,23,6,145.0,-6.0,0.0,1025.0,NW,0.89,0.0,0.0
2012,6,7,12,78.0,18.0,29.0,1002.0,SE,6.71,0.0,0.0
2012,9,17,18,90.0,16.0,22.0,1012.0685,cv,1.78,0.0,0.0
2014,8,17,6,64.0,19.0,21.0,1011.0,NE,0.89,0.0,0.0
2010,10,15,21,29.0,2.0,15.0,1015.0,SE,34.790607,0.0,0.0
2011,7,8,9,123.0,22.0,26.0,1002.0,SE,3.58,0.0,0.0
2010,9,7,4,141.70416,21.0,23.0,1012.0,NW,1.78,0.0,2.0
2010,10,16,21,96.0,11.0,14.0,1023.0,SE,25.924534,0.0,0.0
2013,4,3,16,12.0,-15.0,15.167247,1015.0,NW,170.35814,0.0,0.0
2013,7,25,21,55.0,18.0,30.0,1003.0,cv,0.89,0.0,0.0
2013,4,25,9,10.2976265,-11.173416,13.0,1018.0,cv,0.89,0.0,0.0
2010,2,11,11,68.0,-17.0,-5.0,1031.0,cv,1.7889074,0.0,0.0
2011,9,14,11,139.0,16.0,24.0,1012.0,SE,21.843441,0.0,0.0
2014,10,18,7,55.0,0.0,6.255773,1023.0,NW,28.60943,0.0,0.0
2010,12,7,15,36.0,-13.0,9.0,1017.0,NW,32.257717,0.0,0.0
2010,6,16,7,180.0,20.0,23.0,1001.0,NW,3.13,0.0,0.0
2010,11,2,0,179.77905,8.0,8.0,1019.0,NW,12.524142,0.0,0.0
2012,8,11,20,145.30478,21.0,24.0,1005.0,SE,25.93,0.0,0.0
2011,9,5,0,109.0,17.0,19.0,1016.0,SE,1.78,0.0,0.0
2011,12,23,6,10.0,-20.0,-6.0,1037.0,NW,150.92474,0.0,0.0
2010,6,25,10,181.23105,17.0,23.0,1010.0,cv,3.58,0.0,0.0
2013,4,9,5,10.0,-11.0,7.0,1015.0,NW,182.065,0.0,0.0
2012,6,5,23,65.0,10.0,23.0,1001.0,SE,19.215698,0.0,0.0
2011,6,23,1,185.3075,21.0,22.0,998.0,NE,1.79,0.0,0.0
2011,5,2,10,47.0,3.0,22.0,1011.0,SE,16.54,0.0,0.0
2011,7,12,10,63.0,21.0,26.0,1008.0,SE,1.79,0.0,0.0
2010,3,17,12,128.67752,-4.0,5.0,1021.0,SE,73.275345,0.0,0.0
2013,7,23,17,16.0,16.0,31.0,998.0,NW,41.48365,0.0,0.0
2010,7,3,11,138.0,22.0,30.0,1001.0,cv,1.78,0.0,0.0
2010,5,12,15,59.0,10.0,26.0,1015.0,SE,16.99,0.0,0.0
2014,8,18,2,68.42814,20.0,22.0,1011.0,cv,1.78,0.0,5.3933816
2011,6,24,16,14.0,18.0,27.0,1003.0,NW,16.09,0.0,0.0
2014,3,21,21,161.0,-3.0,9.0,1013.0,cv,0.89,0.0,0.0
2013,8,5,9,46.0,20.0,27.0,1003.0,SE,20.121054,0.0,0.0
2011,3,26,5,56.0,-11.0,3.0,1025.0,NW,1.79,0.0,0.0
2012,10,6,22,146.24992,11.0,14.0,1021.0,NE,1.79,0.0,0.0
2010,3,7,1,73.0,-4.0,-3.0,1027.8528,SE,40.944496,4.8343744,0.0
2011,12,4,17,211.52751,-7.0,-4.0,1028.0,NW,6.26,0.0,0.0
2012,3,14,9,20.0,-13.0,8.0,1021.0,NW,32.767735,0.0,0.0
2014,5,14,0,113.51397,12.0,23.0,1010.0,SE,61.416748,0.0,0.0
2011,1,5,5,16.0,-16.0,-1.0,1027.0,NW,38.44854,0.0,0.0
2011,2,15,5,312.64624,-8.0,-6.0,1024.0,NE,1.78,0.0,0.0
2013,11,20,12,77.0,-11.0,8.0,1024.0,cv,3.58,0.0,0.0
2014,9,7,14,63.0,17.0,29.0,1013.0,cv,1.79,0.0,0.0
2012,12,5,1,225.15094,-4.0,-3.0,1029.0,NW,19.22,0.0,0.0
2013,7,13,0,63.0,21.0,24.0,1003.0,NW,17.324965,0.0,0.0
2014,2,4,17,11.0,-30.842548,0.0,1028.0,NW,8.94,0.0,0.0
2010,6,13,4,137.24617,16.0,20.0,1007.0,SE,1.79,0.0,0.0
2010,12,4,23,17.0,-22.0,-7.0,1027.0,NW,308.37344,0.0,0.0
2010,8,11,17,114.0,22.0,29.0,1003.0,SE,25.93,0.0,0.0
2012,6,19,20,227.0,19.0,25.0,1000.0,SE,23.531528,0.0,0.0
2011,1,10,16,62.0,-20.0,0.0,1026.0,SE,8.05,0.0,0.0
2014,10,26,10,22.0,-5.0,17.0,1027.0,NW,1.79,0.0,0.0
2011,3,16,1,263.72543,-4.0,3.0,1020.0,NW,0.89,0.0,0.0
2012,7,21,3,125.0,24.0,26.0,1003.0,SE,53.65926,0.0,0.0
2010,8,12,9,161.0,21.0,26.0,1005.0,SE,1.79,0.0,0.0
2010,10,26,16,38.0,-2.0,18.0,1021.0,SE,19.229317,0.0,0.0
2012,2,13,12,83.0,-3.0,-1.0,1024.0,SE,1.79,5.564367,0.0
2011,3,15,18,61.0,-14.0,9.0,1018.0,SE,50.45631,0.0,0.0
2013,6,21,14,97.0,15.0,30.0,1007.0,SE,1.79,0.0,0.0
2013,4,2,15,112.0,-6.0,16.0,1014.0,SE,21.362709,0.0,0.0
2012,7,14,16,10.0,15.0,33.0,998.0,NW,31.293093,0.0,0.0
2013,8,23,15,22.0,13.0,29.0,1009.0,SE,3.58,0.0,0.0
2013,8,27,20,61.703682,20.0,27.0,1005.0,SE,21.452906,0.0,0.0
2010,6,28,1,133.0,18.0,23.0,1002.0,cv,0.89,0.0,0.0
2011,6,15,0,47.0,18.0,21.0,1003.0,SE,7.15,0.0,0.0
2012,1,21,0,35.0,-21.0,-8.0,1032.0,cv,0.89,0.0,0.0
2012,9,24,20,30.0,8.0,19.0,1018.0,NW,32.120697,0.0,0.0
2011,4,24,5,23.0,-5.0,12.0,1012.0,NW,61.509567,0.0,0.0
2013,10,27,12,138.0,-1.0,12.0,1018.0,cv,0.89,0.0,0.0
2012,9,14,2,57.0,11.0,13.0,1015.0,NE,6.26,0.0,0.0
2013,12,27,20,14.0,-24.0,-1.0,1031.0,NW,440.99106,0.0,0.0
2012,5,30,15,98.7424,12.0,30.0,1009.0,cv,0.89,0.0,0.0
2011,9,2,12,155.0,20.0,26.0,1009.31036,SE,9.84,0.0,0.0
2012,7,18,11,130.0,21.0,28.0,1007.0,NW,1.79,0.0,0.0
2012,12,6,21,200.09727,-4.0,-3.0,1029.0,SE,34.815323,0.0,0.0
2010,12,23,3,25.0,-19.0,-4.0,1023.0,NW,0.89,0.0,0.0
2013,9,20,9,57.0,13.0,20.0,1016.0,cv,0.89,0.0,0.0
2013,2,31,6,104.0,-3.0,1.0,1021.0,SE,3.58,0.0,0.0
2013,4,11,8,59.0,-1.0,9.0,1014.0,SE,46.714775,0.0,0.0
2011,8,27,19,11.0,19.0,23.0,1009.0,cv,1.79,0.0,0.0
2012,7,16,7,68.0,21.0,24.0,1007.0,cv,3.58,0.0,0.0
2014,9,3,23,46.0,18.0,22.0,1010.0,cv,0.89,0.0,0.0
2010,4,25,21,123.0,7.0,15.0,1014.0,SE,8.04,0.0,0.0
2010,7,6,23,48.0,15.0,28.0,1002.0,cv,0.89,0.0,0.0
2010,12,6,3,17.0,-17.0,2.0,1027.0,NW,112.391846,0.0,0.0
2013,1,5,23,40.517403,-19.0,-10.0,1028.0,cv,0.89,0.0,0.0
2010,8,23,13,17.0,16.0,25.0,1013.0,NW,62.173264,0.0,0.0
2012,1,11,1,28.0,-22.0,-7.0,1034.0,NW,79.724075,0.0,0.0
2010,5,11,0,18.0,6.0,15.0,1012.0,NW,3.13,0.0,0.0
2012,2,1,0,277.8572,-9.28536,-1.0,1016.0,NW,1.79,0.0,0.0
2013,4,10,5,14.0,-8.666426,7.0,1021.0,NW,112.13181,0.0,0.0
2012,6,17,17,89.0,13.0,32.53156,998.0,SE,21.90727,0.0,0.0
2012,3,24,19,24.0,-15.0,11.0,1020.0,SE,13.944272,0.0,0.0
2011,1,4,16,13.0,-21.0,-4.0,1034.0,NW,124.11587,0.0,0.0
2011,4,13,10,150.0,8.0,20.0,1008.0,SE,8.94,0.0,0.0
2014,7,15,7,89.0,19.0,23.0,1003.0,SE,1.79,0.0,0.0
2014,1,20,16,9.0,-25.0,5.0,1023.0,NW,62.574165,0.0,0.0
2010,12,10,17,186.57632,-10.0,-1.0,1006.0,NW,9.291951,0.0,0.0
